GP,Candidate,Score,Decision
B AND J MACHINERY,D AND J MACHINERY,94.11764706,
BEAVER VALLEY HEAT TREAT,BEAVER VALLEY HEAT TREATING,94.11764706,
CK MANUFACTURING,BECK MANUFACTURING,94.11764706,
CK MANUFACTURING,MACK MANUFACTURING,94.11764706,
CW MANUFACTURING,CROW MANUFACTURING,94.11764706,
GMH GROUP,GH GROUP,94.11764706,
HD MANUFACTURING,HERD MANUFACTURING,94.11764706,
JB POWDER COATING,JF POWDER COATING,94.11764706,
LUBETECH,LUBE TECH,94.11764706,
MECO ENGINEERING,MECHON ENGINEERING,94.11764706,
MKC MANUFACTURING,MC3 MANUFACTURING,94.11764706,
NATIONAL MACHINE,NATIONAL MACHINERY,94.11764706,
PANDA ENGINEERING,PANDD ENGINEERING,94.11764706,
PAS TECHNOLOGIES,COPAS TECHNOLOGIES,94.11764706,
PRECISION MILLRIGHTS AND CONSULT,PRECISION MILLRIGHTS AND CONSULTANTS,94.11764706,
RS HEAT TREATMENT,RJ HEAT TREATMENT,94.11764706,
SHAND ENGINEERING,SANDH ENGINEERING,94.11764706,
STS MANUFACTURING,S S MANUFACTURING,94.11764706,
AO PRECISION MANUFACTURING,PRECISION MANUFACTURING,93.87755102,
CINCINNATI GEARING SYSTEMS,CINNATI GEARING SYSTEMS,93.87755102,
ACRO INDUSTRIES,DEACRO INDUSTRIES,93.75,
AE TECHNOLOGIES,APEX TECHNOLOGIES,93.75,
APX TECHNOLOGIE,APEX TECHNOLOGIES,93.75,
CK MANUFACTURING,CF MANUFACTURING,93.75,
CK MANUFACTURING,CW MANUFACTURING,93.75,
CMP TECHNOLOGIES,ECM TECHNOLOGIES,93.75,
CW MANUFACTURING,CF MANUFACTURING,93.75,
EDGAR INDUSTRIES,CEDAR INDUSTRIES,93.75,
G MANUFACTURING,CGL MANUFACTURING,93.75,
METCO INDUSTRIES,MITCO INDUSTRIES,93.75,
P3 MANUFACTURING,PE MANUFACTURING,93.75,
SALINI IMPREGILO,SALINI IMPREGLIO,93.75,
TRACE ENGINEERING,TRA ENGINEERING,93.75,
TRANT ENGINEERING,TRA ENGINEERING,93.75,
POWDER EXTREME COATINGS,EXTREME POWDER COATINGLA,93.61702128,
TC INDUSTRIES OF CANADA,T C INDUSTRIES OF CANADA,93.61702128,
J AND J MEDICAL EQUIPMENT SERVICE,J J MEDICAL EQUIPMENT SERVICE,93.5483871,
AJT ENGINEERING,AJM ENGINEERING,93.33333333,
AKS ENGINEERING,AOS ENGINEERING,93.33333333,
ARC MFG,ARCO MFG,93.33333333,
BERGOMAT,ERGOMAT,93.33333333,
C AND H MACHINE,H AND H MACHINE,93.33333333,
CPT ENGINEERING,CLT ENGINEERING,93.33333333,
D AND R MACHINE,B AND R MACHINE,93.33333333,
DANT INDUSTRIES,DAWN INDUSTRIES,93.33333333,
DEL INDUSTRIES,IDEAL INDUSTRIES,93.33333333,
DVS TECHNOLOGY,DIVIS TECHNOLOGY,93.33333333,
FOREST MACHINE,FOREMOST MACHINE,93.33333333,
IDT ENGINEERING,ITD ENGINEERING,93.33333333,
IMR ENGINEERING TECHNOLOGIES,IMR ENGINEERING AND TECHNOLOGIES,93.33333333,
INTERALU,INTERAL,93.33333333,
J P ENGINEERING,JAP ENGINEERING,93.33333333,
JOHNSON SUPPLY,JOHNSTONE SUPPLY,93.33333333,
L AND P MACHINE,L AND W MACHINE,93.33333333,
LE SUEUR,LESUEUR,93.33333333,
LL BEAN,L L BEAN,93.33333333,
METALTOR,METALOR,93.33333333,
ML WATKINS ENTERPRISES,M L WATKINS ENTERPRISES,93.33333333,
NIMATIC,UNIMATIC,93.33333333,
NYSTROM,NYSTROMS,93.33333333,
P AND M MACHINE,L AND P MACHINE,93.33333333,
PARKER HANNIFIN,PARKER HANNIFAN,93.33333333,
STAR ENGINEERING,ST ENGINEERING,93.33333333,
SVR ENGINEERING,SVP ENGINEERING,93.33333333,
TANDR PRECISION,TANDT PRECISION,93.33333333,
TECHNIC,TECHNICO,93.33333333,
TSP ENGINEERING,SVP ENGINEERING,93.33333333,
I AND M MACHINE AND FABRICATION,I M MACHINE AND FABRICATION,93.10344828,
PRECISION STAMPING AND TOOL INC,PRECISION TOOL AND STAMPING,93.10344828,
SUPERIOR MACHINE AND TOOL INC,SUPERIOR DIE TOOL AND MACHINE,93.10344828,
ATG PRECISION PRODUCTS,BA PRECISION PRODUCTS,93.02325581,
HICKMAN MANUFACTURING,DICKMANN MANUFACTURING,93.02325581,
WHISPER MACHINE WORKS,WHISTLER MACHINE WORKS,93.02325581,
AB5 INDUSTRIES,ASB INDUSTRIES,92.85714286,
ACK INDUSTRIES,AFC INDUSTRIES,92.85714286,
AK S INDUSTRIES,AK INDUSTRIES,92.85714286,
AMG INDUSTRIES,AMO INDUSTRIES,92.85714286,
AMS INDUSTRIES,AMG INDUSTRIES,92.85714286,
AMS INDUSTRIES,AMO INDUSTRIES,92.85714286,
ARI INDUSTRIES,ARD INDUSTRIES,92.85714286,
ASB INDUSTRIES,AMS INDUSTRIES,92.85714286,
GA ENGINEERING,GB ENGINEERING,92.85714286,
GEM INDUSTRIES,ECM INDUSTRIES,92.85714286,
HMS INDUSTRIES,AMS INDUSTRIES,92.85714286,
INDUSTRIAL MFG,MAG INDUSTRIAL,92.85714286,
JR ENGINEERING,LJ ENGINEERING,92.85714286,
KTECHNOLOGIES,KX TECHNOLOGIES,92.85714286,
LJ ENGINEERING,XL ENGINEERING,92.85714286,
LJ ENGINEERING,ML ENGINEERING,92.85714286,
LS INDUSTRIES,LUUS INDUSTRIES,92.85714286,
METAL CUTTING TECHNOLOGY PTY,METAL CUTTING TECHNOLOGY P L,92.85714286,
ML ENGINEERING,XL ENGINEERING,92.85714286,
MSP INDUSTRIES,MPG INDUSTRIES,92.85714286,
PMI INDUSTRIES,PAI INDUSTRIES,92.85714286,
RFC INDUSTRIES,NRC INDUSTRIES,92.85714286,
RMH INDUSTRIES,RAH INDUSTRIES,92.85714286,
SK INDUSTRIES,SKYO INDUSTRIES,92.85714286,
ST ENGINEERING,SK ENGINEERING,92.85714286,
ST ENGINEERING,PT ENGINEERING,92.85714286,
TIERRA ARMADASA,TIERRA ARMADA,92.85714286,
CARTER MANUFACTURING,CARRIER MANUFACTURING,92.68292683,
CHARTER MANUFACTURING,HARTEC MANUFACTURING,92.68292683,
HI TIDE MANUFACTURING,HI TEK MANUFACTURING,92.68292683,
ALBA PRECISION MANUFACTURING,AO PRECISION MANUFACTURING,92.59259259,
AMERICAN STRUCTURE DESIGN,AMERICAN STRUCTURE AND DESIGN,92.59259259,
INDUSTRIAL TOOLING SUPPLY,INDUSTRIAL TOOLING AND SUPPLY,92.59259259,
AH INDUSTRIES,AI INDUSTRIES,92.30769231,
AK INDUSTRIES,AZ INDUSTRIES,92.30769231,
AK INDUSTRIES,AI INDUSTRIES,92.30769231,
AK INDUSTRIES,AH INDUSTRIES,92.30769231,
ALFA PRECISION,LA PRECISION,92.30769231,
ALMA PRODUCTS,ADMA PRODUCTS,92.30769231,
ALTECH,HALTECH,92.30769231,
AMANDA MANUFACTURING,MANDR MANUFACTURING,92.30769231,
AMPEX METAL PRODUCTS,ACME METAL PRODUCTS,92.30769231,
ARCTECH,ARTECH,92.30769231,
ARD INDUSTRIES,AD INDUSTRIE,92.30769231,
ARIEL ESSUP 2,ARIEL ESSUP 1,92.30769231,
AZ INDUSTRIES,AI INDUSTRIES,92.30769231,
AZ INDUSTRIES,AH INDUSTRIES,92.30769231,
BIOTECH,BOTECH,92.30769231,
C AND C ENGINEERING,CTCI ENGINEERING AND,92.30769231,
CANIMEX,ANIMEX,92.30769231,
CORTEC,COROTEC,92.30769231,
DP TOOL AND MACHINE,KPS MACHINE AND TOOL,92.30769231,
DP TOOL AND MACHINE,IGD MACHINE AND TOOL,92.30769231,
DYNAMIC FITNESS STRENGTH,DYNAMIC FITNESS AND STRENGTH,92.30769231,
ECF PRECISION,EMC PRECISION,92.30769231,
EDWARDS LIFESCIECE,EDWARDS LIFE SCIENCES,92.30769231,
ELAN PRECISION,LA PRECISION,92.30769231,
ELLIOT,ELLIOTT,92.30769231,
EMC PRECISION,EMS PRECISION,92.30769231,
GALYON MACHINE SHOP,GAYLONS MACHINE SHOP,92.30769231,
HOL MAC,HOLMAC,92.30769231,
INOTEC,INNOTEC,92.30769231,
KALTECH,ALTECH,92.30769231,
KC PRODUCTION,MK PRODUCTION,92.30769231,
LS INDUSTRIES,SK INDUSTRIES,92.30769231,
MANUFACTURING SALES,STATES MANUFACTURING,92.30769231,
MIDVALE INDUSTRIES,MID VALLEY INDUSTRIES,92.30769231,
MP COMPONENTS,HM COMPONENTS,92.30769231,
MULLER,MUELLER,92.30769231,
PEAK ANALYSIS AND AUTOMATION,PEAK ANALYSIS AUTOMATION,92.30769231,
PRECIZO,PRECIZ,92.30769231,
PRESCOR,PRECOR,92.30769231,
PRIMOR,PRIMORE,92.30769231,
PROMEC,PROMECA,92.30769231,
QUALITY PRODUCTS AND MACHINE,QUALITY MACHINE PRODUCTS,92.30769231,
ROTECH,RIOTECH,92.30769231,
SADLER,STADLER,92.30769231,
SCHUTZ,SCHULTZ,92.30769231,
SHINWA,SHINHWA,92.30769231,
TECOMET,ECOMET,92.30769231,
THERMAX,TERMAX,92.30769231,
TNT MACHINING,NTA MACHINING,92.30769231,
TOOLTEX,TOOLEX,92.30769231,
TRAFIL PRODUCTION C T P SRL,TRAFIL PRODUCTION CTP SRL,92.30769231,
UNITECH,UNITEC,92.30769231,
VERTIV,VERITIV,92.30769231,
VULCANO,VULCAN,92.30769231,
WIRE PRODUCTS,WAIR PRODUCTS,92.30769231,
ZARTECH,ARTECH,92.30769231,
ADP PRECISION ENGINEERING,ATL PRECISION ENGINEERING,92,
ADP PRECISION ENGINEERING,BAW PRECISION ENGINEERING,92,
ATL PRECISION ENGINEERING,BAW PRECISION ENGINEERING,92,
NOVA ENGINEERING WORKS PTY,JA ENGINEERING WORKS PTY,92,
CARTER MANUFACTURING,AER MANUFACTURING,91.89189189,
CNC MANUFACTURING,CANTEC MANUFACTURING,91.89189189,
HENRY MANUFACTURING,HERD MANUFACTURING,91.89189189,
J C ENGINEERING PTY,NJ ENGINEERING PTY,91.89189189,
LDI INDUSTRIES INC,LIST INDUSTRIES INC,91.89189189,
MAC B MANUFACTURING,MACK MANUFACTURING,91.89189189,
MERGON INTERNATIONAL,MON INTERNATIONAL,91.89189189,
ROSER TECHNOLOGIES,ROLLER TECHNOLOGIES,91.89189189,
SAE MANUFACTURING,STATES MANUFACTURING,91.89189189,
STATES MANUFACTURING,STS MANUFACTURING,91.89189189,
STONY MANUFACTURING,TROY MANUFACTURING,91.89189189,
STONY MANUFACTURING,SOHN MANUFACTURING,91.89189189,
DINGTAI SUPER ALLOY ALUMINUM,DINGTAI SUPER ALLOY ALUMINUM SHIP,91.80327869,
AW PRECISION,LA PRECISION,91.66666667,
BERG ENGINEERING AND SALES,BERG ENGINEERING SALES,91.66666667,
CAP PRODUCTS,CMP PRODUCTS,91.66666667,
FINMECCANICA,FILMECCANICA,91.66666667,
GS PRECISION,GP PRECISION,91.66666667,
JANDR MACHINE,JAD MACHINE,91.66666667,
MACK TOOL AND ENGINEERING,MP TOOL AND ENGINEERING,91.66666667,
MECCANICA CT,CP MECCANICA,91.66666667,
MP PRECISION,GP PRECISION,91.66666667,
NORTH PHOENIX,NORT PHENIX,91.66666667,
SWEDISH MATCH LIGHTERS B V,SWEDISH MATCH LIGHTERS,91.66666667,
UPTON ENGINEERING AND MANUFACTURING,TOWNLEY ENGINEERING AND MANUFACTURING,91.66666667,
INDUSTRIAL COATINGS SERVICE,INDUSTRIAL COATINGS AND SERVICES,91.52542373,
AEON MANUFACTURING,AER MANUFACTURING,91.42857143,
ALCO MANUFACTURING,AWC MANUFACTURING,91.42857143,
ALCO MANUFACTURING,COX MANUFACTURING,91.42857143,
ALTEC INDUSTRIAL,INCALTEC INDUSTRIAL,91.42857143,
AMERICAN PRODUCERS,AMERICAN PRODUCTS,91.42857143,
ANCA MANUFACTURING,CNC MANUFACTURING,91.42857143,
ANCA MANUFACTURING,AWC MANUFACTURING,91.42857143,
AUSTIN ENGINEERING,ASPIN ENGINEERING,91.42857143,
BAKER ENGINEERING,BARKEV ENGINEERING,91.42857143,
BLB MANUFACTURING,ABBY MANUFACTURING,91.42857143,
BOYET MANUFACTURING,BT MANUFACTURING,91.42857143,
BT MANUFACTURING,BUTTY MANUFACTURING,91.42857143,
COX MANUFACTURING,CROW MANUFACTURING,91.42857143,
HERD MANUFACTURING,AER MANUFACTURING,91.42857143,
HOSICO ENGINEERING,ROSCO ENGINEERING,91.42857143,
J R POWDER COATING,JB POWDER COATING,91.42857143,
J R POWDER COATING,JF POWDER COATING,91.42857143,
JADE ENGINEERING,JASDANE ENGINEERING,91.42857143,
KAY MANUFACTURING,ABBY MANUFACTURING,91.42857143,
L 3 COMMUNICATIONS,L3 COMMUNICATIONS,91.42857143,
L3 COMMUNICATIONS,LSC COMMUNICATIONS,91.42857143,
LMC MANUFACTURING,ALCO MANUFACTURING,91.42857143,
MACK MANUFACTURING,LMC MANUFACTURING,91.42857143,
MACK MANUFACTURING,AWC MANUFACTURING,91.42857143,
MANUFACTURINGLES,MANUFACTURING SALES,91.42857143,
MCF INDUSTRIES INC,RM INDUSTRIES INC,91.42857143,
NEWCO MANUFACTURING,WO MANUFACTURING,91.42857143,
PIER TOOL AND DIE,PRIOR TOOL AND DIE,91.42857143,
PMF INDUSTRIES INC,RM INDUSTRIES INC,91.42857143,
PSB HEAT TREATMENT,RS HEAT TREATMENT,91.42857143,
R V INDUSTRIES INC,RM INDUSTRIES INC,91.42857143,
RADCON ENGINEERING,PADCO ENGINEERING,91.42857143,
RAO MANUFACTURING,TROY MANUFACTURING,91.42857143,
RAO MANUFACTURING,RIMA MANUFACTURING,91.42857143,
RAO MANUFACTURING,ZERO MANUFACTURING,91.42857143,
RBM MANUFACTURING,RIMA MANUFACTURING,91.42857143,
S S MANUFACTURING,VOSS MANUFACTURING,91.42857143,
SHP MANUFACTURING,SOHN MANUFACTURING,91.42857143,
STRITE INDUSTRIES,STRAMIT INDUSTRIES,91.42857143,
TRD MANUFACTURING,TROY MANUFACTURING,91.42857143,
VOSS MANUFACTURING,STS MANUFACTURING,91.42857143,
WEBCO MANUFACTURING,WO MANUFACTURING,91.42857143,
WGSP MANUFACTURING,SHP MANUFACTURING,91.42857143,
BRODI SPECIALTY PRODUCTS,SPECIALTY BAR PRODUCTS,91.30434783,
FEDATECH ENGINEERING PTY,FALTEC ENGINEERING PTY,91.30434783,
HANDK TOOL AND MACHINE,K AND M TOOL AND MACHINE,91.30434783,
LWM PRECISION MACHINING,CMJ PRECISION MACHINING,91.30434783,
SOUTHERN PAINT AND POWDER,SOUTHERN PAINT POWDER,91.30434783,
U CHAIN SEMICONDUCTOR,U CHAIN SEMICONDUCTOR LTC,91.30434783,
A D MANUFACTURING,HD MANUFACTURING,90.90909091,
ABEC ENGINEERING,ARTEC ENGINEERING,90.90909091,
ABEC ENGINEERING,ALTEC ENGINEERING,90.90909091,
ABORE ENGINEERING,ABEC ENGINEERING,90.90909091,
ADVANCED FORMING RESEARCH NMIS,ADVANCED FORMING RESEARCH,90.90909091,
AEV ENGINEERING,BARKEV ENGINEERING,90.90909091,
AMADA,YAMADA,90.90909091,
AMETEK,AMTEK,90.90909091,
ARIEL,AERIEL,90.90909091,
ARMTEC,AMTEC,90.90909091,
AWC MANUFACTURING,CK MANUFACTURING,90.90909091,
B VI R,B R V,90.90909091,
BAP MANUFACTURING,BT MANUFACTURING,90.90909091,
BLB MANUFACTURING,BT MANUFACTURING,90.90909091,
BMS MANUFACTURING,BT MANUFACTURING,90.90909091,
BROWN INDUSTRIES,BURTON INDUSTRIES,90.90909091,
CF MANUFACTURING,ITC MANUFACTURING,90.90909091,
CF MANUFACTURING,FTT MANUFACTURING,90.90909091,
CF MANUFACTURING,CNC MANUFACTURING,90.90909091,
CF MANUFACTURING,CGL MANUFACTURING,90.90909091,
CF MANUFACTURING,AWC MANUFACTURING,90.90909091,
CHIRON,CHIRO,90.90909091,
CK MANUFACTURING,CGL MANUFACTURING,90.90909091,
CNC MANUFACTURING,CK MANUFACTURING,90.90909091,
CONDOR,CONDO,90.90909091,
CONEXO,CONEX,90.90909091,
COX MANUFACTURING,CW MANUFACTURING,90.90909091,
COX MANUFACTURING,CK MANUFACTURING,90.90909091,
COX MANUFACTURING,CF MANUFACTURING,90.90909091,
CSS MANUFACTURING,CF MANUFACTURING,90.90909091,
CSS MANUFACTURING,CK MANUFACTURING,90.90909091,
CW MANUFACTURING,ITC MANUFACTURING,90.90909091,
CW MANUFACTURING,CSS MANUFACTURING,90.90909091,
CW MANUFACTURING,CNC MANUFACTURING,90.90909091,
CW MANUFACTURING,CGL MANUFACTURING,90.90909091,
CW MANUFACTURING,AWC MANUFACTURING,90.90909091,
CW SERVICE,ACEW SERVICE,90.90909091,
DAMAR INDUSTRIES,AMWARE INDUSTRIES,90.90909091,
DEACRO INDUSTRIES,DATCO INDUSTRIES,90.90909091,
DIMECO,DIMEC,90.90909091,
EDSON,EDISON,90.90909091,
EFESTO,FESTO,90.90909091,
EHS MANUFACTURING,HD MANUFACTURING,90.90909091,
ELMEC,ELMECH,90.90909091,
ELMEC,TELMEC,90.90909091,
FALCON,FALCO,90.90909091,
FALCON,ALCON,90.90909091,
FIRST METALS AND PLASTICS,FIRST METALS AND PLASTICS TECH,90.90909091,
FTT MANUFACTURING,BT MANUFACTURING,90.90909091,
GLOBAL TEK MANUFACTURING,GLOBAL MANUFACTURING,90.90909091,
GREAT ENGINEERING,REVA ENGINEERING,90.90909091,
HMT MACHINE TOOLS,HW MACHINE TOOLS,90.90909091,
HYTEC ENGINEERING,GTEC ENGINEERING,90.90909091,
IAT GLOBAL MANUFACTURING,GLOBAL MANUFACTURING,90.90909091,
IMPRO,CIMPRO,90.90909091,
INDUSTRIAL SOLUTIONS,CMT INDUSTRIAL SOLUTIONS,90.90909091,
INTRA,INTRAC,90.90909091,
INTRAT,INTRA,90.90909091,
ITC MANUFACTURING,CK MANUFACTURING,90.90909091,
ITC MANUFACTURING,BT MANUFACTURING,90.90909091,
J AND M ROOFING SUPPLY,H AND H ROOFING SUPPLY,90.90909091,
J P ENGINEERING,NJ ENGINEERING PTY,90.90909091,
JFC MANUFACTURING,CW MANUFACTURING,90.90909091,
JFC MANUFACTURING,CK MANUFACTURING,90.90909091,
JFC MANUFACTURING,CF MANUFACTURING,90.90909091,
JV MANUFACTURING,JSL MANUFACTURING,90.90909091,
JV MANUFACTURING,JFC MANUFACTURING,90.90909091,
JV MANUFACTURING,IVA MANUFACTURING,90.90909091,
KADEL ENGINEERING,JADE ENGINEERING,90.90909091,
KADEL ENGINEERING,IKAD ENGINEERING,90.90909091,
KAMTEK,AMTEK,90.90909091,
KAY MANUFACTURING,CK MANUFACTURING,90.90909091,
KAYS ENGINEERING,TAKAS ENGINEERING,90.90909091,
KECY METAL TECHNOLOGIES,KECY METAL TECHNOLOGY,90.90909091,
KIM MANUFACTURING,CK MANUFACTURING,90.90909091,
KUBER,KLUBER,90.90909091,
LEGION INDUSTRIES,LIGON INDUSTRIES,90.90909091,
LMC MANUFACTURING,CW MANUFACTURING,90.90909091,
LMC MANUFACTURING,CK MANUFACTURING,90.90909091,
LMC MANUFACTURING,CF MANUFACTURING,90.90909091,
MALAN ENGINEERING,MACA ENGINEERING,90.90909091,
MALCON,ALCON,90.90909091,
MARVIC,MAVIC,90.90909091,
MASECO,MASCO,90.90909091,
MC MANUFACTURING,TAC MANUFACTURING,90.90909091,
MC MANUFACTURING,PPC MANUFACTURING,90.90909091,
MC3 MANUFACTURING,P3 MANUFACTURING,90.90909091,
MEDGAL,MEDAL,90.90909091,
MIVASA,MIASA,90.90909091,
MOEYER,MEYER,90.90909091,
MORGANITE CRUCIBLE,MORGAN CRUCIBLE,90.90909091,
NUMAC ENGINEERING,MACA ENGINEERING,90.90909091,
O ME P,O M P,90.90909091,
OAK ENGINEERING CC,OAK ENGINEERING,90.90909091,
OAK ENGINEERING CC,C K ENGINEERING,90.90909091,
P3 MANUFACTURING,PPC MANUFACTURING,90.90909091,
PADCO ENGINEERING,PACE ENGINEERING,90.90909091,
PERMAT,PERMA,90.90909091,
PPC MANUFACTURING,PE MANUFACTURING,90.90909091,
PRECON,PRECO,90.90909091,
PRECOR,PRECO,90.90909091,
PREMCO,PRECO,90.90909091,
RBM MANUFACTURING,MC MANUFACTURING,90.90909091,
REFACO,REFCO,90.90909091,
REFAL,REFIAL,90.90909091,
REVA ENGINEERING,REGAL ENGINEERING,90.90909091,
RISK PREMIUM NA,RISK PREMIUM CHINA,90.90909091,
ROMAC,ROHMAC,90.90909091,
ROMET,PROMET,90.90909091,
SAE MANUFACTURING,PE MANUFACTURING,90.90909091,
SASCO,SAMSCO,90.90909091,
SERTAC,SERAC,90.90909091,
SHP MANUFACTURING,PE MANUFACTURING,90.90909091,
SHP MANUFACTURING,P3 MANUFACTURING,90.90909091,
SINCO,SINICO,90.90909091,
SREM TECHNOLOGIES,ECM TECHNOLOGIES,90.90909091,
STARGATE PRECISION ENGINEERING,TAE PRECISION ENGINEERING,90.90909091,
TATA GROUP,TANTAL GROUP,90.90909091,
TRACE ENGINEERING,PACE ENGINEERING,90.90909091,
TRIER INDUSTRIES,TRIDEM INDUSTRIES,90.90909091,
TRIER INDUSTRIES,STRITE INDUSTRIES,90.90909091,
TURNER INDUSTRIES,TRIER INDUSTRIES,90.90909091,
VALE INDUSTRIES,MIDVALE INDUSTRIES,90.90909091,
VIMAR,VILMAR,90.90909091,
VISMAR,VIMAR,90.90909091,
WO MANUFACTURING,RAO MANUFACTURING,90.90909091,
WTE PRAZISIONSTECHNIK,WST PRAZISISIONSTECHNIK,90.90909091,
ZEVE ENGINEERING,LEVEY ENGINEERING,90.90909091,
ADVANCED PRECISION INDUSTRIES,ACE PRECISION INDUSTRIES,90.56603774,
TAE PRECISION ENGINEERING,SLANEY PRECISION ENGINEERING,90.56603774,
AVK INDUSTRIAL PRODUCTS,INDUSTRIAL PRODUCTS,90.47619048,
BARRICKS MANUFACTURING,HARRIS MANUFACTURING,90.47619048,
C AND K PRECISION ENG,M AND B PRECISION ENG,90.47619048,
CARRIER MANUFACTURING,CHARTER MANUFACTURING,90.47619048,
EAGLE MANUFACTURING,EAGLEWARE MANUFACTURING,90.47619048,
EPP EURO PRESS PACK SPA,EURO PRESS PACK SPA,90.47619048,
GIL MACHINE AND TOOL,IDEAL MACHINE AND TOOL,90.47619048,
IDEAL MACHINE AND TOOL,IGD MACHINE AND TOOL,90.47619048,
ILLINOIS TOOL WORKS,ILLINOIS TOOL WORKS ITW,90.47619048,
IMS ENGINEERED PRODUCTS,ENGINEERED PRODUCTS,90.47619048,
J AND L MANUFACTURING,B AND B MANUFACTURING,90.47619048,
JDS TECHNOLOGIES INC,RANDS TECHNOLOGIES INC,90.47619048,
